,thread_id,title,type
0,20181964,הגנה אווירית - FXP,
0,20181911,מתי לדעתכם נחזור לבסיס? - FXP,
0,20181351,מתי מקבלים קצרש בגלל הקורונה?(לא חיוניים) - FXP,
0,20181291,חובש בביסלא - FXP,
0,20181023,לוחם חוד ביחידת חילוץ והצלה נוב 18 עונה על שאלות - FXP,
0,20181686,שיבוץ מגב - FXP,
0,20181747,מיזם אלקטרוניקה בחיל הים - FXP,
0,20181693,מישאו מיפה אישתתף בצוק איתן? - FXP,
0,20180453,מעבירים את הבסיס שלי לבסיס טירה מזון/ציוד - FXP,
0,20181544,תותחנים - FXP,
0,20181434,לא מופיעים לי מסלולי המיון שלי - FXP,
0,20181628,בקשר למכינות - FXP,
0,20181600,חברה סולר אינטרנט הכי טוב - FXP,
0,20181601,"תוכניתנית טכ""ם - FXP",
0,20181587,אני לא מבין - FXP,
0,20181596,המשתמש הכי אהוב של הפורום עוזב - FXP,
0,20180149,יג תוכנה או לבקש מנהל רשת? - FXP,
0,20180626,פקודה בלתי חוקית בעליל - FXP,
0,20180375,מתלה שזיפים בגיבושים - FXP,
0,20181528,על אימון קרב מגע לצהל - FXP,
0,20178593,צהל חיסל במארב מחבל שהשליך אבנים על כלי רכב - FXP,
0,20181704,שאלון העדפות נסגר - FXP,
0,20176580,"לגבי נהג בט""ש - FXP",
0,20178492,הראיונות עברו לדיסקורד - FXP,
0,20042669,למה כולם פה פוסלים קרבי ויורדים על חברה מורעלים? - FXP,
